Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Year,Month,Season,Cleaned Review,Sentiment Score,Sentiment Label
economy class,2.0,2.0,1.0,1.0,1,no,2024,12,winter,trip verified london heathrow to male in new business class ba continues to get it mojo back starting with a classy lounge serving innovative and interesting quality preflight food beetroot scotch egg excellent wine whispering angel presentation of onboard food ha always been a bit hit and miss with ba but on this occasion it wa tasty and ok friendly and efficient on board crew smile treat them respectfully and a equal on time flight and early arrival only awarding a 9 because we were bussed from ac gate otherwise a really enjoyable experience,0.28196022727272724,positive
business class,5.0,5.0,4.0,5.0,4,yes,2025,1,winter,not verified very good flight following an equally good flight to rome good food especially on an evening flight and aircraft early both way just what short haul should be,0.34428571428571425,positive
business class,3.0,4.0,4.0,4.0,4,yes,2025,1,winter,not verified an hour delay due to late arrival of the incoming aircraft the captain wa a particularly able communicator who kept u in touch with the situation we got freebie upgrade to emergency exit seat from a friendly member of the crew in the end we were only 30 minute behind schedule in a relatively comfortable elderly plane pretty stress free,0.12222222222222223,positive
economy class,3.0,4.0,2.0,4.0,4,yes,2025,1,winter,trip verified i booked through ba because loganair dont have representative in manchester airport loganair cancelled the flight but someone at ba marked the flight a delayed by 52 minute ive spent over 70 day chasing ba complaint department who are at best totally ineffective they wont put you through to the people dealing with the claim apparently they dont have the facility to do so they wont phone loganair they wont look on manchester airport historic flight website to confirm the cancellation they wont put you through to a supervisor in fact they do very little but apologise for how little they do,0.035416666666666666,positive
economy class,3.0,3.0,3.0,1.0,1,no,2024,11,fall,trip verified british airway lost bag in lhr then found them sent to cologne where it sat for two day before they told me but no one wa there to give it to me i spent 10 day in europe without a bag bought clothes ba refused to reimburse me they closed the case 10 day after i returned to the state when my bag showed up at my front door they wont let you talk to management they say they email mail you but they dont then you call customer service they say they will escalate it but you will never know they dont update the claim or the form,-0.06666666666666667,negative
premium economy,1.0,1.0,3.0,1.0,1,no,2024,12,winter,trip verified the check in process and rewardloyalty program is a mess i am never able to get point even when trying it through a partner airline unfortunately for work i have to travel with them sometimes this time the flight wa delayed,-0.30833333333333335,negative
economy class,1.0,3.0,2.0,1.0,1,no,2025,1,winter,trip verified we flew in november 2023 but it took this long to seek a satisfactory response from ba which we ultimately never received ba refused to rebook my son and me at no cost that day due to lack of underground service alternate service ba forced u to buy new ticket and never admitted that they subjected u to disparate treatment i will not be flying or recommending ba again,-0.05643939393939395,negative
economy class,2.0,2.0,2.0,1.0,1,no,2023,11,fall,trip verified i left for london from johannesburg at 2115 on 22 december 2024 my only issue with that flight wa the pillow they gave u were dirty and when my 7 year old dropped some juice and i asked a cabin crew member walking past for some serviette she told me to go to the bathroom to get some to clean it up those issue werent pleasant but certainly not a major problem i wa booked on the ba0057 at 2115 on 31 december 2024 to return to johannesburg the flight wa delayed to the 1 january 2025 at 1200pm i had a connecting flight to durban and do not live in johannesburg landing in johannesburg with 3 child at 1 am wa not an option for me ba changed my flight to 2nd january 2025 at 1825 i requested a sooner date so i could get home sooner i wa given 1 january 2025 at 2115 i accepted this a this is the original time i opted for and would he most convenient for me a i wa doing a connection in johannesburg to durban unfortunately this flight wa delayed till 2nd january at 1700 i wa extremely upset by this a i wa absolutely exhausted and had 3 child who were absolutely exhausted i also suffer from eczema and hay fever and did not have my cream and medication this caused my eczema to flare up so badly even my lip were cracked and burning my allergy were so severe that my eye were sticking together and i couldnt stop sneezing my daughter also ha eczema and ha had a flare up the staff had no sympathy or empathy for a mother traveling alone and her child i wa just told that they know it an inconvenience and a lady even snapped at me that they trying their best my child are 4 7 and 11 and we were all booked on separate seat is that even legal let alone ethical they were refusing to help me and saying they cant do anything i approached 3 people and the third person finally put u together so they could clearly help me my flight from johannesburg to durban wa originally booked on south african airway and i paid a lot for this ticket a south african airway is not a low cost airline i wa given a cheap low cost airline cemair which i had never even heard of to replace my saa flight i suffer from flight anxiety and this is why i never book low cost airline with tiny flight my anxiety went through the roof on the flight besides all of this i am also left with a huge credit card bill a i used up all my pound on the 1st i know ba is obliged to compensate me for the inconvenience under eu law but besides the compensation ba staff really need to show more empathy for their passenger like me who had two hour long flight delay two day in a row and wa alone with 3 child i expect my full compensation for all of u a this ha been by far the worst experience i have had traveling all their staff kept saying is thats why you will get compensation i am now waiting to see if i get compensated a i wa promised by all of their ground staff legally they have to under eu law so let see if they put up a fight or do what is ethical and legal,0.05524577167019029,positive
economy class,1.0,1.0,2.0,1.0,1,no,2025,1,winter,trip verified after an excellent flight on a 777 cpt to lhr the return wa not a good ba have moved the business class checkin from one end of the hall to the other at t5 for no apparent reason so a nice long walk to check in fast track security wa very slow 15 minute the indicator board suggested the south lounge wa half full but when i went it wa uncomfortably full and it is still tatty a not refurbished so i went to the b pier lounge instead much better except a usual the staff are sort of trying to pack up early and have a bizarre way of refilling the food container which involves actually removing them to the kitchen which mean they are gone a lot of the time rather than replenishing them customer side very employeecentric behaviour time for the flight so down to the transit to take u to the c gate except the transit had decided not to stop any more at the b gate so we watched five maybe seven transit pas through without stopping eventually me and a group of maybe 15 other passenger of mixed age decided to descend to the walkway and run all the way to the c gate we all arrived soaked in sweat not a nice start to a long business class flight the a380 is spacious but the seat is outdated now and in urgent need of replacement ife wa not working and had to be rebooted the headphone prong wa bent so headphone not working the usb port wa not working drink were brought out promptly starter salmon wa delicious truly excellent beef wa tough i think a bad piece of meat rather than badly cooked wine were good cheese wa average to good staff were friendly good night sleep breakfast good the recheck experience at jnb is a huge hassle there is a giant screen saying domestic recheck and a queue but when you get to the front of the queue you are told it is safair only and not for saa ba local partner what a hassle why arent we warned or told this load of ba passenger making the same mistake overall 510 it the little thing that would make this better fast track actually fast track refurbish the south lounge have food replenishment in the passenger area not the kitchen make sure the transit stop even late in the evening refurbish the a380s ask do co who are generally excellent by the way to monitor meat quality rigorously,0.1409777777777778,positive
business class,3.0,4.0,4.0,3.0,3,yes,2024,12,winter,trip verified on a recent flight from cyprus ba621 on 231124 the second the cabin door wa closed the pilot announced we would be held on the runway for 2 hour they know this prior and did not inform passenger until after we had boarded the flight home took nearly 6 hour due to weather condition this plus 2 hour waiting what did ba offer during this 8 hour hell flight 3 oatmeal biscuit and 250ml of water for our family when i went to the cabin crew to ask for more water which i wa told there wasnt any 3 out of the 4 cabin crew were asleep in the back row seat of the aircraft ba621 on 231124 this infuriated me further a i had previously asked if there were any spare seat so that my 2 year old could spread out and get some sleep if available i wa told the flight wa full after we arrived late my connecting flight had now been missed we then queued at the connection desk in a large queue only to watch the ba staff clock off for the night in front of u no genuine support wa given to me or my family and we were effectively abandoned by ba ive tried to speak to someone but their helpline ha an automated message saying due to the number of call not surprised by that aspect they cant assist me then hang up tried this several time at various time i think it their default message have raised this via their email system unsurprisingly been mugged off and cant escalate until 8 week have passed like i said a national disgrace,0.05443722943722944,positive
